"DOY","field","sensor","raw_smr","filename","date","depth_1","depth_2","depth_3","year","day","sm_mean","error"
"1672012","OD",5,0.30930903,"rz.mc_1672012.asc","2012-06-15",0.252722010135919,0.321468907992171,NA,2012,167,0.287095459064045,0.0222135709359549
"1702014","AES",5,0.20361105,"rz.mc_1702014.asc","2014-06-19",0.189622404712224,0.22782249773681,0.255513792093569,2014,170,0.224319564847534,0.0207085148475342
"1702014","OD",5,0.25716817,"rz.mc_1702014.asc","2014-06-19",NA,NA,NA,2014,170,NA,NA
"1772011","AES",5,0.21009478,"rz.mc_1772011.asc","2011-06-26",NA,NA,NA,2011,177,NA,NA
"1772012","AES",5,0.17837794,"rz.mc_1772012.asc","2012-06-25",0.316799256717066,0.34686347513254,0.300395919538331,2012,177,0.321352883795979,0.142974943795979
"1772012","OD",5,0.26392429,"rz.mc_1772012.asc","2012-06-25",0.212955997293482,0.267688368259444,NA,2012,177,0.240322182776463,0.0236021072235374
"1782013","OD",5,0.2575378,"rz.mc_1782013.asc","2013-06-27",0.211282016896772,0.254358134182107,NA,2013,178,0.232820075539439,0.0247177244605607
"1802013","AES",5,0.19081433,"rz.mc_1802013.asc","2013-06-29",0.154083045640198,0.277038315772265,0.268189761371381,2013,180,0.233103707594614,0.0422893775946145
"1852013","OD",5,0.229595,"rz.mc_1852013.asc","2013-07-04",0.207145947918486,0.224744653445525,NA,2013,185,0.215945300682005,0.0136496993179945
"1862011","OD",5,0.218163,"rz.mc_1862011.asc","2011-07-05",NA,NA,NA,2011,186,NA,NA
"1882012","AES",5,0.17984964,"rz.mc_1882012.asc","2012-07-06",0.330281270550803,0.338258964904796,0.294813765060914,2012,188,0.321118000172171,0.141268360172171
"1882014","OD",5,0.21794928,"rz.mc_1882014.asc","2014-07-07",NA,NA,NA,2014,188,NA,NA
"1892013","AES",5,0.16673783,"rz.mc_1892013.asc","2013-07-08",0.149798176953027,0.252880986913764,0.254118422336671,2013,189,0.218932528734487,0.0521946987344873
"1892014","AES",5,0.1645066,"rz.mc_1892014.asc","2014-07-08",0.128038098036279,0.120907106385648,0.184272068662017,2014,189,0.144405757694648,0.0201008423053521
"1902011","AES",5,0.16776592,"rz.mc_1902011.asc","2011-07-09",NA,NA,NA,2011,190,NA,NA
"1922012","OD",5,0.23384479,"rz.mc_1922012.asc","2012-07-10",0.16544648174167,0.215680352142541,NA,2012,192,0.190563416942106,0.0432813730578943
"1922014","OD",5,0.21229023,"rz.mc_1922014.asc","2014-07-11",NA,NA,NA,2014,192,NA,NA
"1952012","AES",5,0.1722133,"rz.mc_1952012.asc","2012-07-13",0.290119919859532,0.326925591296675,0.290408583227909,2012,195,0.302484698128039,0.130271398128039
"1962011","OD",5,0.21184095,"rz.mc_1962011.asc","2011-07-15",NA,NA,NA,2011,196,NA,NA
"1962013","OD",5,0.21184533,"rz.mc_1962013.asc","2013-07-15",0.182737962266599,0.191925810427717,NA,2013,196,0.187331886347158,0.024513443652842
"1972012","OD",5,0.22511988,"rz.mc_1972012.asc","2012-07-15",0.148334824139579,0.203798666748849,NA,2012,197,0.176066745444214,0.0490531345557864
"2052013","OD",5,0.20891036,"rz.mc_2052013.asc","2013-07-24",0.183168692654266,0.192933934302232,NA,2013,205,0.188051313478249,0.0208590465217508
"2062014","AES",5,0.16299239,"rz.mc_2062014.asc","2014-07-25",0.110629566986009,0.106806964047075,0.122749407747,2014,206,0.113395312926694,0.0495970770733056
"2082013","AES",5,0.15878764,"rz.mc_2082013.asc","2013-07-27",0.13971250634869,0.162409027422551,0.217175641914618,2013,208,0.173099058561953,0.0143114185619531
"2122011","AES",5,0.16249531,"rz.mc_2122011.asc","2011-07-31",NA,NA,NA,2011,212,NA,NA
"2132012","OD",5,0.21222146,"rz.mc_2132012.asc","2012-07-31",0.137778667481119,0.199781038513569,NA,2012,213,0.168779852997344,0.0434416070026561
"2152011","OD",5,0.20581131,"rz.mc_2152011.asc","2011-08-03",NA,NA,NA,2011,215,NA,NA
"2172012","OD",5,0.20856209,"rz.mc_2172012.asc","2012-08-04",0.13678092221348,0.200515631692632,NA,2012,217,0.168648276953056,0.0399138130469441
"1342014","AES",6,0.29396406,"rz.mc_1342014.asc","2014-05-14",NA,0.301445584322835,0.280070750321548,2014,134,0.290758167322191,0.00320589267780858
"1502014","OD",6,0.30302601,"rz.mc_1502014.asc","2014-05-30",0.271002929416849,0.298879928451769,0.307208539264269,2014,150,0.292363799044296,0.0106622109557042
